playername;playerteam;age
Giannis Antetokounmpo;Magic;20
Isiah Thomas;Celtics;28
Nikola Jokic;Grizzlies;28
Kemba Walker;Rockets;39
George Mikan;Jazz;19
Joel Embiid;Clippers;38
Moses Malone;Cavaliers;29
DeMar DeRozan;Grizzlies;37
Kevin McHale;Raptors;21
Elgin Baylor;Suns;35
Giannis Antetokounmpo;Raptors;29
Damian Lillard;Nuggets;20
Rudy Gobert;Clippers;18
John Wall;Pelicans;31
Manute Bol;Cavaliers;27
DeMar DeRozan;Bucks;39
Elgin Baylor;Nuggets;32
LeBron James;Clippers;31
Nikola Jokic;Bulls;24
Michael Jordan;Hornets;20
Kevin Durant;76ers;20
Kevin Garnett;Spurs;22
Isiah Thomas;76ers;32
Moses Malone;Timberwolves;22
Reggie Miller;Celtics;27
Mugsy Bouges;Hornets;34
Michael Jordan;Nets;19
Luka Doncic;Kings;22
Klay Thompson;Wizards;25
Anthony Davis;Thunder;20
Dwyane Wade;Spurs;27
Julius Erwing;Heat;30
Patrick Ewing;Jazz;34
Kevin McHale;Timberwolves;39
Chris Bosh;Heat;28
LeBron James;Suns;25
Allen Iverson;Thunder;40
Kareem Abdul-Jabbar;Pelicans;19
Paul Pierce;Hawks;26
Dwight Howard;Jazz;27
Steve Nash;Warriors;18
Jason Kidd;Warriors;23
Jamal Murray;Spurs;37
John Stockton;Hornets;28
Jerry West;Pistons;25
Damian Lillard;Thunder;32
John Stockton;Nets;32
James Worthy;Spurs;33
Kemba Walker;Nets;34
Kevin Garnett;Suns;26
DeAron Fox;Magic;39
Joel Embiid;Jazz;32
George Mikan;Suns;36
Larry Bird;Pistons;38
Tracy McGrady;Knicks;31
James Worthy;Knicks;24
Ja Morant;Pistons;20
David Robinson;Bulls;38
Carmelo Anthony;Heat;23
Allen Iverson;Knicks;31
Moses Malone;Suns;23
Dennis Rodman;Wizards;39
Jerry West;Knicks;38
DeMar DeRozan;Timberwolves;28
Tim Duncan;Warriors;41
Jason Kidd;Warriors;18
Kawhi Leonard;Pistons;37
Ray Allen;Knicks;32
Julius Erwing;Bucks;35
Wilt Chamberlain;Cavaliers;33
Magic Johnson;Rockets;30
Elgin Baylor;Knicks;23
John Wall;Magic;31
Tracy McGrady;Clippers;39
Bill Russell;Knicks;38
Dominique Wilkins;Cavaliers;28
Carmelo Anthony;Celtics;39
David Robinson;Magic;31
Hakeem Olajuwon;Timberwolves;28
Bill Russell;Rockets;28
Bill Russell;Bulls;31
LeBron James;Hawks;24
Allen Iverson;Pelicans;35
Chris Bosh;Magic;33
Chris Paul;Spurs;31
Shaquille Oneal;Suns;28
Paul Pierce;Lakers;22
Blake Griffin;Timberwolves;29
Kevin Garnett;Hawks;19
Devin Booker;Thunder;23
Dennis Rodman;Raptors;36
Damian Lillard;Pistons;20
Yao Ming;Pistons;22
Kobe Bryant;Bucks;20
Tracy McGrady;Pacers;33
Wilt Chamberlain;Thunder;28
George Gervin;Heat;19
Jerry West;Knicks;33
Hakeem Olajuwon;Nets;18
Dominique Wilkins;Jazz;24
Vince carter;Cavaliers;32
Joel Embiid;Knicks;19
David Robinson;Lakers;22
Carmelo Anthony;Heat;25
Wilt Chamberlain;Timberwolves;23
Manute Bol;Magic;24
Shaquille Oneal;Raptors;24
Larry Bird;Hornets;40
David Robinson;Warriors;19
Kobe Bryant;Pacers;38
Kobe Bryant;Wizards;37
John Stockton;Cavaliers;19
Jason Kidd;Spurs;37
Ray Allen;Bulls;18
Carmelo Anthony;Jazz;40
George Mikan;Hornets;31
Giannis Antetokounmpo;Hornets;27
Dwyane Wade;Magic;20
Karl Malone;Heat;24
Devin Booker;Cavaliers;19
Chris Paul;Grizzlies;29
DeAron Fox;Lakers;18
Ja Morant;Raptors;25
Russell Westbrook;Spurs;19
Dennis Rodman;Clippers;33
Anthony Davis;Nets;35
George Mikan;Cavaliers;40
Manute Bol;Kings;19
Donovan Mitchell;Hornets;23
DeAron Fox;Pelicans;22
Paul George;Suns;33
John Wall;Heat;18
James Worthy;Heat;31
